id,title,island,locality,area,price,beds,size,floor,date
,"Flat / Apartment in calle Reina Maria de Montpeller, Pere Garau, Palma de Mallorca",Mallorca,Palma de Mallorca,Pere Garau,195000,4,117,5,2020-09-15
,"Penthouse in calle de Rafel Albertí, Blanquer, Inca",Mallorca,Inca,Blanquer,175000,2,129,2,2020-09-15
,"Penthouse in calle tirant lo balnc, Cristo Rey - Parque Europa, Inca",Mallorca,Inca,Cristo Rey - Parque Europa,199500,3,121,2,2020-09-15
,"Flat / Apartment in Formentor, 36, Son Amonda - Reis Catòlics, Inca",Mallorca,Inca,Son Amonda - Reis Catòlics,139000,3,109,2,2020-09-15
,"Flat / Apartment in Antoni de Montis, 12, Camp d'En Serralta , Palma de Mallorca",Mallorca,Palma de Mallorca,Camp d'En Serralta ,165000,2,69,3,2020-09-15
,"Penthouse in calle d'Alòs, Camp d'En Serralta , Palma de Mallorca",Mallorca,Palma de Mallorca,Camp d'En Serralta ,179000,2,73,5,2020-09-15
,"Flat / Apartment in Esperanto, 43, Son Ferriol, Palma de Mallorca",Mallorca,Palma de Mallorca,Son Ferriol,170000,3,94,3,2020-09-15
,"Flat / Apartment in cotllure, 38, Cas Capiscol, Palma de Mallorca",Mallorca,Palma de Mallorca,Cas Capiscol,164000,2,75,4,2020-09-15
,"Flat / Apartment in calle de Joan Crespí, 34, Sta Catalina - El Jonquet, Palma de Mallorca",Mallorca,Palma de Mallorca,Sta Catalina - El Jonquet,145000,3,70,6,2020-09-15
,"Flat / Apartment in SON NADAL, La Soledat, Palma de Mallorca",Mallorca,Palma de Mallorca,La Soledat,188000,4,126,1,2020-09-15
,"Flat / Apartment in Son Dameto, Palma de Mallorca",Mallorca,Palma de Mallorca,Son Dameto,199000,2,100,4,2020-09-15
,"Flat / Apartment in monturiol, 42, Cala Ratjada",Mallorca,Cala Ratjada,42,185000,2,92,1,2020-09-15
,"Flat / Apartment in llevant, 13, Porto Cristo, Manacor",Mallorca,Manacor,Porto Cristo,149000,3,102,1,2020-09-15
,"Flat / Apartment in avenida des Tren, 20, Son Servera",Mallorca,Son Servera,20,155000,2,90,2,2020-09-15
,"Flat / Apartment in calle Rodríguez de la Fuente, 21, Muro",Mallorca,Muro,21,199000,3,190,1,2020-09-15
,"Flat / Apartment in calle de Ses Salines, Rafal Nou - Estadi Balear - Son Malferit, Palma de Mallorca",Mallorca,Palma de Mallorca,Rafal Nou - Estadi Balear - Son Malferit,198500,2,83,1,2020-09-15
,"Duplex in Comunes de Ca n'Oliver, Muro",Mallorca,Muro,Comunes de Ca n'Oliver,186000,3,90,1,2020-09-15
,"Penthouse in calle Llotgeta, Sindicat, Palma de Mallorca",Mallorca,Palma de Mallorca,Sindicat,194900,2,90,4,2020-09-15
,"Penthouse in avenida de les palmeres, Port d'Alcúdia - Platja d'Alcúdia, Alcúdia",Mallorca,Alcúdia,Port d'Alcúdia - Platja d'Alcúdia,179000,3,83,2,2020-09-15
,"Flat / Apartment in calle Belgica, Port d'Alcúdia - Platja d'Alcúdia, Alcúdia",Mallorca,Alcúdia,Port d'Alcúdia - Platja d'Alcúdia,180000,2,95,2,2020-09-15
,"Flat / Apartment in murillo, Cala Pi-Vallgornera, Llucmajor",Mallorca,Llucmajor,Cala Pi-Vallgornera,180000,2,90,1,2020-09-15
,"Flat / Apartment in calle Reis Catòlics, Son Canals - Can Capes, Palma de Mallorca",Mallorca,Palma de Mallorca,Son Canals - Can Capes,187000,3,130,1,2020-09-15
,"Flat / Apartment in Palma, Pere Garau, Palma de Mallorca",Mallorca,Palma de Mallorca,Pere Garau,185000,2,74,2,2020-09-15
,"Penthouse in avenida Son Rigo, Les Maravelles, Palma de Mallorca",Mallorca,Palma de Mallorca,Les Maravelles,199000,2,60,8,2020-09-15
,"Flat / Apartment in isaac peral, Portocolom, Felanitx",Mallorca,Felanitx,Portocolom,175000,3,105,1,2020-09-15
,"Flat / Apartment in calle d'Escorca, Son Amonda - Reis Catòlics, Inca",Mallorca,Inca,Son Amonda - Reis Catòlics,195000,3,90,1,2020-09-15
,"Flat / Apartment in asuncion, 4, Portocolom, Felanitx",Mallorca,Felanitx,Portocolom,149900,2,58,1,2020-09-15
,"Flat / Apartment in TORRENTE, S'Arenal, Llucmajor",Mallorca,Llucmajor,S'Arenal,190000,4,120,4,2020-09-15
,"Flat / Apartment in avenida Cas Saboners, Palmanova, Calvià",Mallorca,Calvià,Palmanova,165000,2,68,3,2020-09-15
,"Penthouse in calle Ferrer de Pallarès, 12, Pere Garau, Palma de Mallorca",Mallorca,Palma de Mallorca,Pere Garau,165500,3,80,6,2020-09-15
,"Flat / Apartment in andratx, 36, Andratx Pueblo, Andratx",Mallorca,Andratx,Andratx Pueblo,199000,3,134,1,2020-09-15
,"Flat / Apartment in osca, 30, Rafal Vell, Palma de Mallorca",Mallorca,Palma de Mallorca,Rafal Vell,170000,2,71,2,2020-09-15
,"Flat / Apartment in Son Oliva, Palma de Mallorca",Mallorca,Palma de Mallorca,Son Oliva,176000,3,89,2,2020-09-15
,"Flat / Apartment in Federico Garcia Lorca, Magaluf, Calvià",Mallorca,Calvià,Magaluf,199900,3,73,1,2020-09-15
,"Flat / Apartment in Son Corb, 35, Cala Millor",Mallorca,Cala Millor,35,159000,3,88,2,2020-09-15
,"Flat / Apartment in calle de l'Arquebisbe Aspàreg, Pere Garau, Palma de Mallorca",Mallorca,Palma de Mallorca,Pere Garau,179000,3,92,2,2020-09-15
,"Flat / Apartment in calle Paraires, 2, Centro, Inca",Mallorca,Inca,Centro,180000,4,175,1,2020-09-15
,"Penthouse in El Vivero, Palma de Mallorca",Mallorca,Palma de Mallorca,El Vivero,139000,3,95,4,2020-09-15
,"Penthouse in calle del Llac Enol, Son Rapinya - Los Almendros, Palma de Mallorca",Mallorca,Palma de Mallorca,Son Rapinya - Los Almendros,176000,3,77,3,2020-09-15
,"Flat / Apartment in travesía Jesús, Bons Aires, Palma de Mallorca",Mallorca,Palma de Mallorca,Bons Aires,185000,4,108,3,2020-09-15
,"Flat / Apartment in calle de Florència, Son Xigala, Palma de Mallorca",Mallorca,Palma de Mallorca,Son Xigala,186000,3,90,1,2020-09-15
,"Flat / Apartment in Camp d'En Serralta , Palma de Mallorca",Mallorca,Palma de Mallorca,Camp d'En Serralta ,199999,3,100,4,2020-09-15
,Flat / Apartment in Pobla (Sa),Mallorca,Pobla (Sa),,160000,3,180,2,2020-09-15
,"Flat / Apartment in Pere Joan Llobet, Foners, Palma de Mallorca",Mallorca,Palma de Mallorca,Foners,185000,4,126,5,2020-09-15
,"Flat / Apartment in calle Sagasta, Pobla (Sa)",Mallorca,Pobla (Sa),calle Sagasta,149900,3,108,3,2020-09-15
,"Flat / Apartment in de josep maria llompart, Cristo Rey - Parque Europa, Inca",Mallorca,Inca,Cristo Rey - Parque Europa,177000,3,110,2,2020-09-15
,"Flat / Apartment in estacion, Porreres",Mallorca,Porreres,estacion,155000,2,101,2,2020-09-15
,"Flat / Apartment in calle Camp redó, Camp Redo, Palma de Mallorca",Mallorca,Palma de Mallorca,Camp Redo,185000,2,80,3,2020-09-15
,"Flat / Apartment in calle pere seriol, Andratx Pueblo, Andratx",Mallorca,Andratx,Andratx Pueblo,199900,2,101,2,2020-09-15
,"Flat / Apartment in camino dels Reis, Genova, Palma de Mallorca",Mallorca,Palma de Mallorca,Genova,199000,2,88,3,2020-09-15
,"Flat / Apartment in Palmanova, Calvià",Mallorca,Calvià,Palmanova,169000,2,73,1,2020-09-15
,"Penthouse in calle Escorpora, S'Illot-Cala Morlanda, Manacor",Mallorca,Manacor,S'Illot-Cala Morlanda,139900,3,122,2,2020-09-15
,"Flat / Apartment in calle manacor, Pere Garau, Palma de Mallorca",Mallorca,Palma de Mallorca,Pere Garau,169900,3,95,6,2020-09-15
,"Duplex in CL TRAMUNTANA, Sineu",Mallorca,Sineu,CL TRAMUNTANA,199900,3,117,1,2020-09-15
,"Flat / Apartment in illes balears, Porreres",Mallorca,Porreres,illes balears,182000,3,123,3,2020-09-15
,"Flat / Apartment in Son Roca - Son Ximelis - Son Anglada, Palma de Mallorca",Mallorca,Palma de Mallorca,Son Roca - Son Ximelis - Son Anglada,96000,3,80,1,2020-09-15
