island,locality,area,price,beds,size,floor,date
Mallorca,Inca,Blanquer,175000,2,180,3,2020-09-09
Mallorca,Palma de Mallorca,Foners,178000,3,115,1,2020-09-09
Mallorca,Inca,Blanquer,175000,2,180,3,2020-09-09
Mallorca,Palma de Mallorca,Son Cotoner,169000,3,61,3,2020-09-09
Mallorca,Palma de Mallorca,Pere Garau,170000,3,100,1,2020-09-09
Mallorca,Llucmajor,Sa Torre,177000,2,82,1,2020-09-09
Mallorca,Colonia de Sant Jordi,Marina,199000,3,79,2,2020-09-09
Mallorca,Porreres,65,125000,2,75,2,2020-09-09
Mallorca,Inca,Son Amonda - Reis Catòlics,149000,3,109,2,2020-09-09
Mallorca,Llucmajor,Cala Pi-Vallgornera,170000,2,80,1,2020-09-09
Mallorca,Inca,Gran Via de Colom,156000,2,75,1,2020-09-09
Mallorca,Llucmajor,S'Arenal,180000,3,130,3,2020-09-09
Mallorca,Calvià,Son Ferrer,190000,2,70,2,2020-09-09
Mallorca,Palma de Mallorca,Nou Llevant,177000,3,92,3,2020-09-09
Mallorca,Palma de Mallorca,La Soledat,125000,3,81,2,2020-09-09
Mallorca,Maria de la Salud,Sineu,189000,3,95,1,2020-09-09
Mallorca,Palma de Mallorca,Rafal Nou - Estadi Balear - Son Malferit,150000,3,85,4,2020-09-09
Mallorca,Palma de Mallorca,Plaça de Toros,195000,3,91,1,2020-09-09
Mallorca,Manacor,Manacor Centro,165000,2,80,4,2020-09-09
Mallorca,Palma de Mallorca,Hostalets - Son Fortesa Sud,178000,3,100,2,2020-09-09
Mallorca,Manacor,Porto Cristo,156600,2,67,2,2020-09-09
Mallorca,Manacor,Manacor Centro,174070,2,73,1,2020-09-09
Mallorca,Palma de Mallorca,Ses Cadenes-Arenal,164000,3,86,1,2020-09-09
Mallorca,Palma de Mallorca,Ses Cadenes-Arenal,170000,2,77,2,2020-09-09
Mallorca,Llucmajor,S'Arenal,199500,3,140,4,2020-09-09
Mallorca,Palma de Mallorca,Ses Cadenes-Arenal,189000,2,57,1,2020-09-09
Mallorca,Palma de Mallorca,Ses Cadenes-Arenal,145000,2,65,4,2020-09-09
Mallorca,Palma de Mallorca,Rafal Vell,150000,3,90,1,2020-09-09
Mallorca,Palma de Mallorca,Son Cotoner,198000,3,69,2,2020-09-09
Mallorca,Palma de Mallorca,Rafal Vell,190000,3,90,3,2020-09-09
Mallorca,Palma de Mallorca,Foners,130000,3,136,2,2020-09-09
Mallorca,Palma de Mallorca,Cas Capiscol,143000,3,105,5,2020-09-09
Mallorca,Palma de Mallorca,Son Canals - Can Capes,180000,3,90,1,2020-09-09
Mallorca,Palma de Mallorca,Ses Cadenes-Arenal,159500,3,84,3,2020-09-09
Mallorca,Llucmajor,S'Arenal,169500,3,80,6,2020-09-09
Mallorca,Llucmajor,Llucmajor Interior,147000,3,124,3,2020-09-09
Mallorca,Muro,,160000,3,149,1,2020-09-09
Mallorca,Inca,Son Amonda - Reis Catòlics,135000,3,94,3,2020-09-09
Mallorca,Palma de Mallorca,Camp d'En Serralta ,190000,2,58,5,2020-09-09
Mallorca,Alcúdia,Ciutat d'Alcúdia,167000,2,68,1,2020-09-09
Mallorca,Palma de Mallorca,Bons Aires,190000,3,115,3,2020-09-09
Mallorca,Palma de Mallorca,La Soledat,169000,3,90,2,2020-09-09
Mallorca,Palma de Mallorca,Rafal Vell,190000,3,100,1,2020-09-09
Mallorca,Palma de Mallorca,Rafal Vell,188000,3,112,1,2020-09-09
Mallorca,Palma de Mallorca,Son Roca - Son Ximelis - Son Anglada,117260,3,83,2,2020-09-09
Mallorca,Palma de Mallorca,Son Cotoner,199900,4,120,3,2020-09-09
Mallorca,Palma de Mallorca,Son Roca - Son Ximelis - Son Anglada,120000,3,75,4,2020-09-09
Mallorca,Palma de Mallorca,Sa Indiotería - Son Castelló,170000,2,90,1,2020-09-09
Mallorca,Inca,Gran Via de Colom,168000,2,176,2,2020-09-09
Mallorca,Montuiri,13,175000,2,120,1,2020-09-09
Mallorca,Calvià,Son Ferrer,180000,2,65,1,2020-09-09
Mallorca,Palma de Mallorca,Pere Garau,139000,4,120,4,2020-09-09
Mallorca,Palma de Mallorca,Pere Garau,170000,3,75,2,2020-09-09
Mallorca,Palma de Mallorca,Rafal Nou - Estadi Balear - Son Malferit,189000,3,85,1,2020-09-09
Mallorca,Palma de Mallorca,La Soledat,185000,3,92,1,2020-09-09
Mallorca,Palma de Mallorca,Hostalets - Son Fortesa Sud,189000,3,94,4,2020-09-09
Mallorca,Felanitx,Felanitx centro,120000,3,94,1,2020-09-09
Mallorca,Llucmajor,S'Arenal,199000,2,70,1,2020-09-09
Mallorca,Llucmajor,Llucmajor Interior,198000,3,125,1,2020-09-09
Mallorca,Inca,Son Amonda - Reis Catòlics,134000,4,130,5,2020-09-09
Mallorca,Colonia de Sant Jordi,calle bonança,178000,2,70,2,2020-09-09
Mallorca,Palma de Mallorca,Son Ferriol,189000,2,53,2,2020-09-09
Mallorca,Llucmajor,S'Arenal,157000,3,83,3,2020-09-09
Mallorca,Palma de Mallorca,Foners,189000,3,85,3,2020-09-09
Mallorca,Felanitx,Portocolom,155000,2,58,1,2020-09-09
Mallorca,Palma de Mallorca,Son Roca - Son Ximelis - Son Anglada,96000,3,88,1,2020-09-09
Mallorca,Llucmajor,Llucmajor Interior,165000,2,80,1,2020-09-09
Mallorca,Sineu,calle del Mostassaf,182000,3,114,1,2020-09-09
Mallorca,Inca,Gran Via de Colom,160000,2,75,2,2020-09-09
Mallorca,Palma de Mallorca,Son Cladera - Son Fuster,128000,3,81,5,2020-09-09
Mallorca,Andratx,Andratx Pueblo,185000,2,75,1,2020-09-09
Mallorca,Palma de Mallorca,Marqués de la Fontsanta,190000,3,97,5,2020-09-09
Mallorca,Cala Millor,,170000,2,93,1,2020-09-09
Mallorca,Palma de Mallorca,La Soledat,160000,3,82,4,2020-09-09
Mallorca,Palma de Mallorca,Son Cotoner,117000,3,79,5,2020-09-09
Mallorca,Palma de Mallorca,Pere Garau,169900,3,80,6,2020-09-09
Mallorca,Muro,,136000,2,60,3,2020-09-09
Mallorca,Palma de Mallorca,Cas Capiscol,189500,3,74,1,2020-09-09
Mallorca,Palma de Mallorca,El Forti,180000,3,92,4,2020-09-09
Mallorca,Cala d'Or,,189000,2,90,2,2020-09-09
Mallorca,Palma de Mallorca,Foners,184000,2,80,1,2020-09-09
Mallorca,Puerto de Pollença,1,190000,2,70,2,2020-09-09
Mallorca,Manacor,Manacor Centro,180000,3,112,3,2020-09-09
Mallorca,Palma de Mallorca,Camp Redo,180000,2,80,4,2020-09-09
Mallorca,Palma de Mallorca,Son Roca - Son Ximelis - Son Anglada,140000,3,80,1,2020-09-09
Mallorca,Manacor,Manacor Centro,139000,2,80,2,2020-09-09
Mallorca,Andratx,Andratx Pueblo,185000,2,75,1,2020-09-09
Mallorca,Pobla (Sa),ronda sur,168000,3,86,2,2020-09-09
Mallorca,Palma de Mallorca,Son Gotleu,185000,3,83,1,2020-09-09
Mallorca,Llucmajor,Ses Palmeres,160000,2,67,2,2020-09-09
Mallorca,Palma de Mallorca,Nou Llevant,59800,3,100,2,2020-09-09
Mallorca,Llucmajor,Llucmajor Interior,190000,3,90,2,2020-09-09
Mallorca,Palma de Mallorca,Rafal Vell,174000,2,99,1,2020-09-09
Mallorca,Palma de Mallorca,Camp Redo,165000,3,80,6,2020-09-09
Mallorca,Inca,Cristo Rey - Parque Europa,168000,2,85,1,2020-09-09
Mallorca,Palma de Mallorca,Nou Llevant,175000,3,96,6,2020-09-09
Mallorca,Palma de Mallorca,Plaça de Toros,185000,3,83,6,2020-09-09
Mallorca,Alcúdia,Port d'Alcúdia - Platja d'Alcúdia,189000,3,73,2,2020-09-09
Mallorca,Alcúdia,Port d'Alcúdia - Platja d'Alcúdia,156900,2,75,2,2020-09-09
Mallorca,Palma de Mallorca,El Terreno,126400,2,85,2,2020-09-09
Mallorca,Betlem,NN,117000,2,53,1,2020-09-09
Mallorca,S'Illot,,180000,2,90,1,2020-09-09
Mallorca,Manacor,Porto Cristo,175000,3,95,3,2020-09-09
Mallorca,Cala Millor,,199500,2,80,1,2020-09-09
Mallorca,Palma de Mallorca,Son Cladera - Son Fuster,187000,3,95,2,2020-09-09
Mallorca,Campos,31,163000,2,84,1,2020-09-09
Mallorca,Palma de Mallorca,Ses Cadenes-Arenal,159000,2,63,1,2020-09-09
Mallorca,Campos,NN,173000,2,80,1,2020-09-09
Mallorca,Palma de Mallorca,La Soledat,160000,3,98,2,2020-09-09
Mallorca,Palma de Mallorca,Cas Capiscol,199990,2,75,1,2020-09-09
Mallorca,Palma de Mallorca,Foners,195000,4,125,5,2020-09-09
Mallorca,Llucmajor,Llucmajor Interior,143500,3,124,3,2020-09-09
Mallorca,Palma de Mallorca,Son Oliva,199000,3,103,3,2020-09-09
Mallorca,Cala Millor,paseo MARITIMO CB de cala bona,140000,2,80,2,2020-09-09
Mallorca,Palma de Mallorca,Cas Capiscol,195000,3,130,1,2020-09-09
