area,address,number,price,date,property_type,full_address,lat,long
Glendower Court,Glendower Court,11,300000,2020-08-19,Second-Hand,"11 Glendower Court, Glendower Court",51.89097713659068,-8.579260601534097
Old Quarter,Millers Court,70,420000,2020-08-13,Second-Hand,"70 Millers Court, Old Quarter",51.89114003596089,-8.59633561033392
An Caislean,Newgrange,1,213000,2020-08-11,Second-Hand,"1 Newgrange, An Caislean",51.88419579207018,-8.604721941977742
Shalimar Court,Shalimar Court,5,250000,2020-07-31,Second-Hand,"5 Shalimar Court, Shalimar Court",51.88896130535807,-8.578969730369383
Inniscarra View,Woodbine Lawn,15,287500,2020-07-29,Second-Hand,"15 Woodbine Lawn, Inniscarra View",51.88901621244116,-8.572065214668026
An Caislean,An Caislean,186,270000,2018-12-19,Second-Hand,"186 An Caislean, An Caislean",51.88419579207018,-8.604721941977742
Willow Grove,Willow Grove,26,420000,2018-12-19,Second-Hand,"26 Willow Grove, Willow Grove",51.882509982430086,-8.612375401534269
Old Quarter,Coopers Grange,72,262000,2018-12-19,Second-Hand,"72 Coopers Grange, Old Quarter",51.89114003596089,-8.59633561033392
Fionn Laoi,Woodview,11,340000,2018-12-18,New Build,"11 Woodview, Fionn Laoi",51.89295672639931,-8.577244778805012
Old Quarter,Coopers Grange,28,355000,2018-12-18,New Build,"28 Coopers Grange, Old Quarter",51.89114003596089,-8.59633561033392
Coolroe,Willow Grove,55,310000,2018-12-18,Second-Hand,"55 Willow Grove, Coolroe",51.885279789132504,-8.622716969745719
Westcourt,Westcourt Heights,41,292500,2018-12-18,Second-Hand,"41 Westcourt Heights, Westcourt",51.88681255417706,-8.616295628522487
Coolroe,Willow Grove,4,310000,2018-12-17,Second-Hand,"4 Willow Grove, Coolroe",51.885279789132504,-8.622716969745719
An Caislean,An Caislean Way,135,320000,2018-12-14,Second-Hand,"135 An Caislean Way, An Caislean",51.88419579207018,-8.604721941977742
Westcourt,Westcourt Heights,46,317500,2020-04-06,Second-Hand,"46 Westcourt Heights, Westcourt",51.88681255417706,-8.616295628522487
The Cloisters,The Cloisters,66,280000,2020-04-06,Second-Hand,"66 The Cloisters, The Cloisters",51.88453436126935,-8.578108099687265
Town Center,Carrigdene,8,290000,2020-04-02,Second-Hand,"8 Carrigdene, Town Center",51.8878563321983,-8.600737381727024
Muskerry Estate,Pine Walk,130,270000,2020-03-31,Second-Hand,"130 Pine Walk, Muskerry Estate",51.885514844369936,-8.596310161258103
Maglin,Maglin Green,3,479999,2020-03-30,New Build,"3 Maglin Green, Maglin",51.88128516801954,-8.59394691502851
Rosewood,Rosewood,166,250000,2020-03-26,Second-Hand,"166 Rosewood, Rosewood",51.88865181082447,-8.575978970851866
Coolroe,The Lawn,71,330000,2020-03-20,Second-Hand,"71 The Lawn, Coolroe",51.885279789132504,-8.622716969745719
Coolroe,Coolroe,,225000,2020-03-20,Second-Hand," Coolroe, Coolroe",51.885279789132504,-8.622716969745719
Aylsbury,Aylsbury,21,320000,2020-03-19,Second-Hand,"21 Aylsbury, Aylsbury",51.88284449037205,-8.620440916875388
Maglin,Glincool Grove,11,303000,2020-03-18,Second-Hand,"11 Glincool Grove, Maglin",51.88128516801954,-8.59394691502851
Carriganarra,Carriganarra,7,316000,2020-03-12,Second-Hand,"7 Carriganarra, Carriganarra",51.88456579585057,-8.579854607281877
Heathfield,The Avenue,31,379999,2020-11-09,New Build,"31 The Avenue, Heathfield",51.88275370396547,-8.57522707085204
Maglin,Maglin Drive,6,400000,2020-11-06,Second-Hand,"6 Maglin Drive, Maglin",51.88128516801954,-8.59394691502851
Old Quarter,Coopers Grange,8,452925,2020-11-05,New Build,"8 Coopers Grange, Old Quarter",51.89114003596089,-8.59633561033392
Beech Park,Beech Park,91,245000,2020-10-23,Second-Hand,"91 Beech Park, Beech Park",51.884462825784524,-8.586660730369518
Tudor Grove,Tudor Grove,8,245000,2021-07-05,Second-Hand,"8 Tudor Grove, Tudor Grove",51.88555121291465,-8.591538215028342
Town Center,Church View,57,321000,2021-07-02,Second-Hand,"57 Church View, Town Center",51.8878563321983,-8.600737381727024
Leecourt,Leecourt,132,231000,2021-07-01,Second-Hand,"132 Leecourt, Leecourt",51.8915162277775,-8.581342570851831
An Caislean,Newgrange,8,222000,2021-06-25,Second-Hand,"8 Newgrange, An Caislean",51.88419579207018,-8.604721941977742
Classis Lake,The Brambles,7,400000,2021-06-16,Second-Hand,"7 The Brambles, Classis Lake",51.88586099008718,-8.62822296864587
Coolroe,Willowgrove,48,340000,2021-06-11,Second-Hand,"48 Willowgrove, Coolroe",51.885279789132504,-8.622716969745719
Greenfields,Woodberry,11,755000,2021-06-04,Second-Hand,"11 Woodberry, Greenfields",51.87941701969475,-8.620193493581136
Old Quarter,Coopers Grange,69,340000,2021-06-03,Second-Hand,"69 Coopers Grange, Old Quarter",51.89114003596089,-8.59633561033392
Old Quarter,Millers Court,106,640000,2021-05-31,Second-Hand,"106 Millers Court, Old Quarter",51.89114003596089,-8.59633561033392
Castleknock,Castleknock,16,330000,2021-05-28,Second-Hand,"16 Castleknock, Castleknock",51.88198791175574,-8.595112470852024
Old Quarter,Coopers Grange,36,400000,2019-07-25,New Build,"36 Coopers Grange, Old Quarter",51.89114003596089,-8.59633561033392
Old Quarter,Coppers Grange,19,350000,2019-07-23,New Build,"19 Coppers Grange, Old Quarter",51.89114003596089,-8.59633561033392
Parknamore,Parknamore,15,285000,2019-07-22,Second-Hand,"15 Parknamore, Parknamore",51.88458744794133,-8.609309161051812
