,address,area,baths,beds,lat,link,long,popularity,price,property_type,size,number,matcher,address_sold,full_address,price_sold,date,price_difference,annual_avg_price_difference
42,27 Barley Grove The Maltings,The Maltings,1.0,3.0,51.88503727921537,Mitula,-8.591352822622822,0,259500,None,0,27,Barley,Barley Grove,"27 Barley Grove, The Maltings",257000.0,2020-06-24,-0.009633911368015413,0.0029641507319180735
43,24 An Caislean Close,An Caislean,1.0,3.0,51.88419579207018,Mitula,-8.604721941977742,0,259000,None,0,24,Caisleán,Caislean Close,"24 Caislean Close, An Caislean",252500.0,2021-03-23,-0.025096525096525095,0.020885362824269477
44,9 The Meadows West Village,West Village,1.0,3.0,51.88675485217772,Mitula,-8.606397553304374,0,255000,None,0,9,Meadows,The Meadows,"9 The Meadows, West Village",250000.0,2021-02-04,-0.0196078431372549,0.020885362824269477
45,200 The Willows  Ballincollig  Co. Cork,Carrigrohanebeg,1.0,3.0,51.893099170701504,None,-8.580849757357647,0,250000, Semi-Detached House,0,200,Willows,The Willows,"200 The Willows, Carrigrohanebeg",245000.0,2019-09-10,-0.02,-0.013652709601293585
46,208 The Willows  Ballincollig  Co. Cork,Carrigrohanebeg,1.0,3.0,51.893099170701504,None,-8.580849757357647,0,250000, Semi-Detached House,0,208,Willows,The Willows,"208 The Willows, Carrigrohanebeg",256000.0,2019-08-16,0.024,-0.013652709601293585
47,31 An Caislean Drive,An Caislean,1.0,3.0,51.88419579207018,Mitula,-8.604721941977742,0,249500,None,0,31,Caisleán,An Caislean Drive,"31 An Caislean Drive, An Caislean",240000.0,2020-05-21,-0.03807615230460922,0.0029641507319180735
48,69 Beech Park  Ballincollig  Co. Cork,Beech Park,2.0,6.0,51.88446282578453,None,-8.586660730369518,0,245000, Semi-Detached House,0,69,Beech,Beech Park,"69 Beech Park, Beech Park",252500.0,2021-02-23,0.030612244897959183,0.020885362824269477
49,12 Highfield Square,Highfield,3.0,3.0,51.88483134751022,Mitula,-8.573114016875365,0,239000,None,0,12,Highfield,Highfield Park,"12 Highfield Park, Highfield",310000.0,2020-12-18,0.29707112970711297,0.0029641507319180735
50,16 Newgrange  An Caislean  Ballincollig  Co. Cork,An Caislean,2.0,2.0,51.88419579207018,None,-8.604721941977742,0,225000,Apartment for sale,0,16,Newgrange,Newgrange,"16 Newgrange, An Caislean",215000.0,2019-11-13,-0.044444444444444446,-0.013652709601293585
51,17 Tara  An Caislean  Ballincollig  Co. Cork,An Caislean,2.0,2.0,51.88419579207018,None,-8.604721941977742,0,220000,Apartment for sale,0,17,Tara,Tara,"17 Tara, An Caislean",218000.0,2019-08-06,-0.00909090909090909,-0.013652709601293585
52,20 Granary Court  The Maltings  Ballincollig  Co. Cork,The Maltings,1.0,2.0,51.88503727921537,None,-8.591352822622822,0,220000,Apartment for sale,0,20,Granary,Granary Court,"20 Granary Court, The Maltings",210000.0,2021-03-19,-0.045454545454545456,0.020885362824269477
53,98 Beech Park  Ballincollig  Co. Cork,Beech Park,1.0,3.0,51.88446282578453,None,-8.586660730369518,0,220000, Semi-Detached House,0,98,Beech,Beech Park,"98 Beech Park, Beech Park",232000.0,2019-05-03,0.05454545454545454,-0.013652709601293585
54,35 Manor Hill  Ballincollig  Co. Cork,Manor Hill,1.0,3.0,51.89121035709487,None,-8.575907457357648,0,220000, Semi-Detached House,0,35,Manor,Manor Hill,"35 Manor Hill, Manor Hill",255000.0,2019-06-25,0.1590909090909091,-0.013652709601293585
55,1 Tara  An Caislean  Ballincollig  Co. Cork,An Caislean,2.0,2.0,51.88419579207018,None,-8.604721941977742,0,220000,Apartment for sale,0,1,Tara,Tara An Caisleain,"1 Tara An Caisleain, An Caislean",207000.0,2020-02-05,-0.05909090909090909,0.0029641507319180735
56,48 Beech Park,Beech Park,3.0,3.0,51.88446282578453,Mitula,-8.586660730369518,0,219500,None,0,48,Beech,Beech Park,"48 Beech Park, Beech Park",223000.0,2020-09-01,0.015945330296127564,0.0029641507319180735
57,35 Innishmore Grove,Innishmore,3.0,3.0,51.888974744049854,Mitula,-8.608958999892096,0,165000,None,0,35,Innishmore,Innishmore Grove,"35 Innishmore Grove, Innishmore",188000.0,2021-04-22,0.1393939393939394,0.020885362824269477
