,address,area,baths,beds,lat,link,long,popularity,price,property_type,size,number,matcher,address_sold,full_address,price_sold,date,price_difference,annual_avg_price_difference
14,The Willows Lisheens,Carrigrohanebeg,1.0,3.0,51.893099170701504,Mitula,-8.580849757357647,0,365000,None,0,The,Willows,"The Willows, West Village, Ballincollig","The The Willows, West Village, Ballincollig, Carrigrohanebeg",422000.0,2017-02-24,0.15616438356164383,-0.1022154363092225
15,28 Waltham Abbey  Old Quarter  Ballincollig  Co. Cork,Old Quarter,3.0,3.0,51.89120011526423,None,-8.597460712163135,0,365000, Semi-Detached House,0,28,Waltham,"28 Waltham Abbey, Old Quarter, Ballincollig","28 28 Waltham Abbey, Old Quarter, Ballincollig, Old Quarter",339200.0,2019-09-23,-0.07068493150684932,-0.01652524619960608
16,28 Waltham Abbey  Old Quarter  Ballincollig  Co. Cork,Old Quarter,3.0,3.0,51.89120011526423,None,-8.597460712163135,0,365000, Semi-Detached House,0,28,Waltham,"28 Waltham Abbey, Old Quarter, Ballincollig","28 28 Waltham Abbey, Old Quarter, Ballincollig, Old Quarter",344900.0,2021-01-21,-0.05506849315068493,0.02305194436801918
17,98 Leslies Arch Old Quarter,Old Quarter,2.0,3.0,51.89120011526423,Mitula,-8.597460712163135,0,350000,None,0,98,Leslies,"98 Leslies Arch, Old Quarter, Ballincollig","98 98 Leslies Arch, Old Quarter, Ballincollig, Old Quarter",316000.0,2016-11-09,-0.09714285714285714,-0.21912132598463208
18,4 Carriganarra  Ballincollig  Co. Cork,Carriganarra,1.0,4.0,51.88456579585057,None,-8.579854607281877,0,350000,Bungalow for sale,0,4,Carriganarra,"4 Carriganarra, Ballincollig, Cork","4 4 Carriganarra, Ballincollig, Cork, Carriganarra",325000.0,2019-10-30,-0.07142857142857142,-0.01652524619960608
19,8 Millers Court Old Quarter,Old Quarter,4.0,5.0,51.89120011526423,Mitula,-8.597460712163135,0,345000,None,0,8,Millers,"8 Millers Court, Old Quarter, Ballincollig","8 8 Millers Court, Old Quarter, Ballincollig, Old Quarter",200000.0,2012-12-14,-0.42028985507246375,-0.4411859329248788
20,46 Coopers Grange Old Quarter,Old Quarter,3.0,2.0,51.89120011526423,Mitula,-8.597460712163135,0,335000,None,0,46,Coopers,"46 Coopers Grange, The Old Quarter, Ballincollig","46 46 Coopers Grange, The Old Quarter, Ballincollig, Old Quarter",248458.0,2016-12-16,-0.25833432835820896,-0.21912132598463208
21,69 Coopers Grange Old Quarter,Old Quarter,1.0,3.0,51.89120011526423,Mitula,-8.597460712163135,0,330000,None,0,69,Coopers,"69 Coopers Grange, Old Quarter, Ballincollig","69 69 Coopers Grange, Old Quarter, Ballincollig, Old Quarter",340000.0,2021-06-03,0.030303030303030304,0.02305194436801918
22,35 The Lawn  Coolroe Meadows  Ballincollig  Co. Cork,Coolroe,3.0,4.0,51.8852797891325,None,-8.622716969745719,0,330000, End of Terrace House,0,35,Lawn,"35 The Lawn, Coolroe Meadows, Ballincollig","35 35 The Lawn, Coolroe Meadows, Ballincollig, Coolroe",332000.0,2019-07-12,0.006060606060606061,-0.01652524619960608
23,63 The Cloisters,The Cloisters,2.0,3.0,51.88453436126935,Mitula,-8.578108099687265,0,325000,None,0,63,Cloisters,"63 The Cloisters, Ballincollig, Cork","63 63 The Cloisters, Ballincollig, Cork, The Cloisters",280000.0,2018-07-06,-0.13846153846153847,-0.23702446356275303
24,63 The Cloisters,The Cloisters,2.0,3.0,51.88453436126935,Mitula,-8.578108099687265,0,325000,None,0,63,Cloisters,"63 The Cloisters, Ballincollig, Cork","63 63 The Cloisters, Ballincollig, Cork, The Cloisters",330000.0,2021-07-08,0.015384615384615385,0.02305194436801918
25,12 Glincool Gardens  Ballincollig  Co. Cork,Maglin,2.0,3.0,51.88135112776452,None,-8.59523805920491,0,325000, Detached House,0,12,Glincool,"12 Glincool Gardens, Ballincollig, Cork","12 12 Glincool Gardens, Ballincollig, Cork, Maglin",305000.0,2021-01-26,-0.06153846153846154,0.02305194436801918
26,30 Wyndham Downs  Ballincollig  Co. Cork,Wyndham Downs,2.0,3.0,51.885942955874135,None,-8.620296147557605,0,325000,Bungalow for sale,0,30,Wyndham,"30 Wyndham Downs, Ballincollig, Cork","30 30 Wyndham Downs, Ballincollig, Cork, Wyndham Downs",325000.0,2019-10-02,0.0,-0.01652524619960608
27,167 Rosewood,Rosewood,2.0,3.0,51.88865181082447,Mitula,-8.575978970851866,0,325000,None,0,167,Rosewood,"167 Rosewood Est, Ballincollig, Cork","167 167 Rosewood Est, Ballincollig, Cork, Rosewood",253000.0,2017-03-01,-0.22153846153846155,-0.1022154363092225
28,22 Cranford Pines,Beech Park,2.0,3.0,51.88446282578453,Mitula,-8.586660730369518,0,320000,None,0,22,Cranford,"22 Cranford Pines, Ballincollig, Cork","22 22 Cranford Pines, Ballincollig, Cork, Beech Park",325000.0,2021-07-29,0.015625,0.02305194436801918
29,21 Aylsbury,Aylsbury,1.0,3.0,51.88284449037205,Mitula,-8.620440916875387,0,320000,None,0,21,Aylsbury,"21 Aylsbury, Ballincollig, Co Cork","21 21 Aylsbury, Ballincollig, Co Cork, Aylsbury",245000.0,2015-07-02,-0.234375,-0.26314097114263507
30,21 Aylsbury,Aylsbury,1.0,3.0,51.88284449037205,Mitula,-8.620440916875387,0,320000,None,0,21,Aylsbury,"21 Aylsbury, Ballincollig, Co Cork","21 21 Aylsbury, Ballincollig, Co Cork, Aylsbury",320000.0,2020-03-19,0.0,0.00339886114282469
31,8 Rosewood  Ballincollig  Co. Cork,Rosewood,2.0,3.0,51.88865181082447,None,-8.575978970851866,0,320000, Semi-Detached House,0,8,Rosewood,"8 Rosewood, Ballincollig, Cork","8 8 Rosewood, Ballincollig, Cork, Rosewood",235000.0,2018-03-09,-0.265625,-0.23702446356275303
32,8 Rosewood  Ballincollig  Co. Cork,Rosewood,2.0,3.0,51.88865181082447,None,-8.575978970851866,0,320000, Semi-Detached House,0,8,Rosewood,"8 Rosewood, Ballincollig, Cork","8 8 Rosewood, Ballincollig, Cork, Rosewood",306000.0,2019-09-13,-0.04375,-0.01652524619960608
33,11 Glincool Grove  Glincool  Ballincollig  Co. Cork,Maglin,3.0,4.0,51.88135112776452,None,-8.59523805920491,0,310000, Detached House,0,11,Glincool,"11 Glincool Crescent, Ballincollig","11 11 Glincool Crescent, Ballincollig, Maglin",172500.0,2012-07-24,-0.4435483870967742,-0.4411859329248788
34,11 Glincool Grove  Glincool  Ballincollig  Co. Cork,Maglin,3.0,4.0,51.88135112776452,None,-8.59523805920491,0,310000, Detached House,0,11,Glincool,"11 Glincool Villas, Ballincollig","11 11 Glincool Villas, Ballincollig, Maglin",162000.0,2013-05-27,-0.4774193548387097,-0.4298609800101032
35,11 Glincool Grove  Glincool  Ballincollig  Co. Cork,Maglin,3.0,4.0,51.88135112776452,None,-8.59523805920491,0,310000, Detached House,0,11,Glincool,"11 Glincool Crescent, Ballincollig, Cork","11 11 Glincool Crescent, Ballincollig, Cork, Maglin",241000.0,2015-06-02,-0.22258064516129034,-0.26314097114263507
36,11 Glincool Grove  Glincool  Ballincollig  Co. Cork,Maglin,3.0,4.0,51.88135112776452,None,-8.59523805920491,0,310000, Detached House,0,11,Glincool,"11 Glincool Grove, Ballincollig, Cork","11 11 Glincool Grove, Ballincollig, Cork, Maglin",303000.0,2020-03-18,-0.02258064516129032,0.00339886114282469
37,11 Glincool Grove  Glincool  Ballincollig  Co. Cork,Maglin,3.0,4.0,51.88135112776452,None,-8.59523805920491,0,310000, Detached House,0,11,Glincool,"11 Glincool Grove, Ballincollig, Cork","11 11 Glincool Grove, Ballincollig, Cork, Maglin",273000.0,2020-07-28,-0.11935483870967742,0.00339886114282469
38,21 Glincool Gardens,Maglin,3.0,3.0,51.88135112776452,Mitula,-8.59523805920491,0,310000,None,0,21,Glincool,"21 Glincool Gardens, Ballincollig","21 21 Glincool Gardens, Ballincollig, Maglin",183000.0,2012-06-26,-0.4096774193548387,-0.4411859329248788
39,10 Glincool Gardens,Maglin,1.0,3.0,51.88135112776452,Mitula,-8.59523805920491,0,310000,None,0,10,Glincool,"10 Glincool Cresent, Maglin Rd, Ballincollig","10 10 Glincool Cresent, Maglin Rd, Ballincollig, Maglin",160000.0,2013-12-20,-0.4838709677419355,-0.4298609800101032
40,10 Glincool Gardens,Maglin,1.0,3.0,51.88135112776452,Mitula,-8.59523805920491,0,310000,None,0,10,Glincool,"10 Glincool Villas, Maglin Rd, Ballincollig","10 10 Glincool Villas, Maglin Rd, Ballincollig, Maglin",215000.0,2015-11-27,-0.3064516129032258,-0.26314097114263507
41,8 Parknamore Heights,Parknamore,2.0,3.0,51.884587447941335,Mitula,-8.609309161051812,0,300000,None,0,8,Parknamore,"8 Parknamore Heights, Ballincollig","8 8 Parknamore Heights, Ballincollig, Parknamore",240000.0,2010-05-13,-0.2,-0.2
42,32 Coolroe Heights,Coolroe,3.0,3.0,51.8852797891325,Mitula,-8.622716969745719,0,295000,None,0,32,Coolroe,"32 Coolroe Heights, Ballincollig, Cork","32 32 Coolroe Heights, Ballincollig, Cork, Coolroe",282000.0,2021-03-08,-0.04406779661016949,0.02305194436801918
43,27 Cranford Pines,Beech Park,3.0,3.0,51.88446282578453,Mitula,-8.586660730369518,0,295000,None,0,27,Cranford,"27 Cranford Pines, Ballincollig, Cork","27 27 Cranford Pines, Ballincollig, Cork, Beech Park",290000.0,2020-11-13,-0.01694915254237288,0.00339886114282469
44,7 Highfield Avenue Highfield Park,Highfield,2.0,3.0,51.88483134751022,Mitula,-8.573114016875365,0,295000,None,0,7,Highfield,"7 Highfield Park, Ballincollig, Cork","7 7 Highfield Park, Ballincollig, Cork, Highfield",317000.0,2021-04-27,0.07457627118644068,0.02305194436801918
45,9 Rosewood Estate,Rosewood,3.0,3.0,51.88865181082447,Mitula,-8.575978970851866,0,295000,None,0,9,Rosewood,"9 Rosewood, Ballincollig, Cork","9 9 Rosewood, Ballincollig, Cork, Rosewood",320000.0,2021-03-01,0.0847457627118644,0.02305194436801918
46,57 Church View,Town Center,2.0,3.0,51.8878563321983,Mitula,-8.600737381727024,0,295000,None,0,57,Church,"57 Church View, Ballincollig, Cork","57 57 Church View, Ballincollig, Cork, Town Center",321000.0,2021-07-02,0.08813559322033898,0.02305194436801918
47,148 Leslies Arch  Old Quarter  Ballincollig  Co. Cork,Old Quarter,3.0,3.0,51.89120011526423,None,-8.597460712163135,0,295000, End of Terrace House,0,148,Leslies,"148 Leslies Arch, Old Quarter, Ballincollig","148 148 Leslies Arch, Old Quarter, Ballincollig, Old Quarter",315000.0,2019-09-23,0.06779661016949153,-0.01652524619960608
48,108 An Caislean,An Caislean,2.0,3.0,51.88419579207018,Mitula,-8.604721941977742,0,290000,None,0,108,Caisleán,"108 An Caislean Way, Ballincollig, Cork","108 108 An Caislean Way, Ballincollig, Cork, An Caislean",302000.0,2021-03-19,0.041379310344827586,0.02305194436801918
49,114 Rosewood Est,Rosewood,3.0,3.0,51.88865181082447,Mitula,-8.575978970851866,0,285000,None,0,114,Rosewood,"114 Rosewood Est, Ballincollig, Cork","114 114 Rosewood Est, Ballincollig, Cork, Rosewood",280000.0,2020-12-14,-0.017543859649122806,0.00339886114282469
50,126 Caisleán Way,An Caislean,3.0,3.0,51.88419579207018,Mitula,-8.604721941977742,0,285000,None,0,126,Caisleán,"126 An Caislean, Ballincollig","126 126 An Caislean, Ballincollig, An Caislean",145000.0,2012-11-12,-0.49122807017543857,-0.4411859329248788
51,10 Parknamore Rise,Parknamore,2.0,3.0,51.884587447941335,Mitula,-8.609309161051812,0,285000,None,0,10,Parknamore,"10 Parknamore Rise, Ballincollig, Cork","10 10 Parknamore Rise, Ballincollig, Cork, Parknamore",320000.0,2021-07-15,0.12280701754385964,0.02305194436801918
52,3 The Avenue  Highfield Park  Ballincollig  Co. Cork,Highfield,3.0,3.0,51.88483134751022,None,-8.573114016875365,0,285000,Apartment for sale,0,3,Avenue,"3 The Avenue, Highfield Park, Ballincollig","3 3 The Avenue, Highfield Park, Ballincollig, Highfield",281000.0,2019-08-04,-0.014035087719298246,-0.01652524619960608
53,59 Castle Avenue Muskerry Estate  Ballincollig  Co. Cork,Muskerry Estate,2.0,4.0,51.885514844369936,None,-8.596310161258103,0,280000, Semi-Detached House,0,59,Castle,"59 Castle Ave, Muskerry Estate, Ballincollig","59 59 Castle Ave, Muskerry Estate, Ballincollig, Muskerry Estate",205000.0,2014-12-19,-0.26785714285714285,-0.23056722689075632
54,59 Castle Avenue Muskerry Estate  Ballincollig  Co. Cork,Muskerry Estate,2.0,4.0,51.885514844369936,None,-8.596310161258103,0,280000, Semi-Detached House,0,59,Castle,"59 Castle Ave, Muskerry Estate, Ballincollig","59 59 Castle Ave, Muskerry Estate, Ballincollig, Muskerry Estate",270000.0,2019-10-23,-0.03571428571428571,-0.01652524619960608
55,20 Cranford Pines,Beech Park,2.0,3.0,51.88446282578453,Mitula,-8.586660730369518,0,280000,None,0,20,Cranford,"20 Cranford Pines, Ballincollig, Cork","20 20 Cranford Pines, Ballincollig, Cork, Beech Park",290000.0,2020-12-21,0.03571428571428571,0.00339886114282469
56,118 An Caislean,An Caislean,3.0,3.0,51.88419579207018,Mitula,-8.604721941977742,0,280000,None,0,118,Caisleán,"118 An Caislean Way, Ballincollig, Cork","118 118 An Caislean Way, Ballincollig, Cork, An Caislean",270000.0,2021-01-28,-0.03571428571428571,0.02305194436801918
57,102 The Cloisters  Ballincollig  Co. Cork,The Cloisters,2.0,3.0,51.88453436126935,None,-8.578108099687265,0,280000, Semi-Detached House,0,102,Cloisters,"102 The Cloisters, Ballincollig, Cork","102 102 The Cloisters, Ballincollig, Cork, The Cloisters",287000.0,2019-08-14,0.025,-0.01652524619960608
58,2 The Cloisters  Ballincollig  Co. Cork,The Cloisters,2.0,3.0,51.88453436126935,None,-8.578108099687265,0,275000, Semi-Detached House,0,2,Cloisters,"2 The Cloisters, Ballincollig, Cork","2 2 The Cloisters, Ballincollig, Cork, The Cloisters",270000.0,2019-10-04,-0.01818181818181818,-0.01652524619960608
59,182 The Willows Carrigalee,Carrigrohanebeg,3.0,3.0,51.893099170701504,Mitula,-8.580849757357647,0,275000,None,0,182,Willows,"182 The Willows, Carriglee, Ballincollig","182 182 The Willows, Carriglee, Ballincollig, Carrigrohanebeg",268000.0,2020-11-19,-0.025454545454545455,0.00339886114282469
60,23 Parknamore Rise  Ballincollig  Co. Cork,Parknamore,1.0,3.0,51.884587447941335,None,-8.609309161051812,0,270000, Semi-Detached House,0,23,Parknamore,"23 Parknamore Rise, Ballincollig, Co Cork","23 23 Parknamore Rise, Ballincollig, Co Cork, Parknamore",265000.0,2019-07-10,-0.018518518518518517,-0.01652524619960608
61,21 Parknamore Rise  Ballincollig  Co. Cork,Parknamore,2.0,3.0,51.884587447941335,None,-8.609309161051812,0,270000, Detached House,0,21,Parknamore,"21 Parknamore Rise, Ballincollig, Co Cork","21 21 Parknamore Rise, Ballincollig, Co Cork, Parknamore",266200.0,2019-07-18,-0.014074074074074074,-0.01652524619960608
62,158 An Caislean View,An Caislean,2.0,3.0,51.88419579207018,Mitula,-8.604721941977742,0,265000,None,0,158,Caisleán,"158 Caislean View, Ballincollig, Cork","158 158 Caislean View, Ballincollig, Cork, An Caislean",209500.0,2017-03-22,-0.20943396226415095,-0.1022154363092225
63,158 An Caislean View,An Caislean,2.0,3.0,51.88419579207018,Mitula,-8.604721941977742,0,265000,None,0,158,Caisleán,"158 Caislean View, Ballincollig, Cork","158 158 Caislean View, Ballincollig, Cork, An Caislean",282000.0,2021-07-16,0.06415094339622641,0.02305194436801918
64,105 Cedardale  Ballincollig  Co. Cork,Carrigrohanebeg,1.0,4.0,51.893099170701504,None,-8.580849757357647,0,265000, Detached House,0,105,Cedardale,"105 Cedardale, Ballincollig, Cork","105 105 Cedardale, Ballincollig, Cork, Carrigrohanebeg",245000.0,2020-09-04,-0.07547169811320754,0.00339886114282469
65,168 Caislean View  Ballincollig  Co. Cork,An Caislean,3.0,3.0,51.88419579207018,None,-8.604721941977742,0,265000, Semi-Detached House,0,168,Caisleán,"168 An Caislean, Ballincollig, Cork","168 168 An Caislean, Ballincollig, Cork, An Caislean",185000.0,2016-01-13,-0.3018867924528302,-0.21912132598463208
66,168 Caislean View  Ballincollig  Co. Cork,An Caislean,3.0,3.0,51.88419579207018,None,-8.604721941977742,0,265000, Semi-Detached House,0,168,Caisleán,"168 An Caislean, Ballincollig, Cork","168 168 An Caislean, Ballincollig, Cork, An Caislean",247500.0,2020-02-21,-0.0660377358490566,0.00339886114282469
67,199 The Willows,Carrigrohanebeg,2.0,3.0,51.893099170701504,Mitula,-8.580849757357647,0,265000,None,0,199,Willows,"199 The Willows, Ballincollig, Cork","199 199 The Willows, Ballincollig, Cork, Carrigrohanebeg",261500.0,2021-05-07,-0.013207547169811321,0.02305194436801918
68,33 The Lawn  Coolroe Meadows  Ballincollig  Co. Cork,Coolroe,0.0,3.0,51.8852797891325,None,-8.622716969745719,0,265000, Terraced House,0,33,Lawn,"33 The Lawn, Coolroe Meadows, Ballincollig","33 33 The Lawn, Coolroe Meadows, Ballincollig, Coolroe",267500.0,2019-10-10,0.009433962264150943,-0.01652524619960608
69,21 Church View Station Road,Town Center,1.0,3.0,51.8878563321983,Mitula,-8.600737381727024,0,260000,None,0,21,Church,"21 Church View, Ballincollig, Cork","21 21 Church View, Ballincollig, Cork, Town Center",280000.0,2020-09-24,0.07692307692307693,0.00339886114282469
70,24 The Stables Coolroe,Coolroe,2.0,4.0,51.8852797891325,Mitula,-8.622716969745719,0,260000,None,0,24,Stables,"24 The Stables, Coolroe, Ballincollig","24 24 The Stables, Coolroe, Ballincollig, Coolroe",308370.0,2017-01-18,0.18603846153846154,-0.1022154363092225
71,77 An Caislean Drive  Ballincollig  Co. Cork,An Caislean,3.0,3.0,51.88419579207018,None,-8.604721941977742,0,260000, Semi-Detached House,0,77,Caisleán,"77 An Caislean, Ballincollig, Cork","77 77 An Caislean, Ballincollig, Cork, An Caislean",255000.0,2019-06-28,-0.019230769230769232,-0.01652524619960608
72,24 An Caislean Close,An Caislean,1.0,3.0,51.88419579207018,Mitula,-8.604721941977742,0,259000,None,0,24,Caisleán,"24 Caislean Close, Ballincollig, Cork","24 24 Caislean Close, Ballincollig, Cork, An Caislean",252500.0,2021-03-23,-0.025096525096525095,0.02305194436801918
73,9 The Meadows West Village,West Village,1.0,3.0,51.88675485217772,Mitula,-8.606397553304374,0,255000,None,0,9,Meadows,"9 The Meadows, West Village, Ballincollig","9 9 The Meadows, West Village, Ballincollig, West Village",250000.0,2021-02-04,-0.0196078431372549,0.02305194436801918
74,200 The Willows  Ballincollig  Co. Cork,Carrigrohanebeg,1.0,3.0,51.893099170701504,None,-8.580849757357647,0,250000, Semi-Detached House,0,200,Willows,"200 The Willows, Ballincollig, Cork","200 200 The Willows, Ballincollig, Cork, Carrigrohanebeg",245000.0,2019-09-10,-0.02,-0.01652524619960608
75,23 The Stables Coolroe,Coolroe,2.0,3.0,51.8852797891325,Mitula,-8.622716969745719,0,250000,None,0,23,Stables,"23 The Stables, Ballincollig, County Cork","23 23 The Stables, Ballincollig, County Cork, Coolroe",252500.0,2021-07-13,0.01,0.02305194436801918
76,208 The Willows  Ballincollig  Co. Cork,Carrigrohanebeg,1.0,3.0,51.893099170701504,None,-8.580849757357647,0,250000, Semi-Detached House,0,208,Willows,"208 The Willows, Carriglee, Ballincollig","208 208 The Willows, Carriglee, Ballincollig, Carrigrohanebeg",256000.0,2019-08-16,0.024,-0.01652524619960608
77,31 An Caislean Drive,An Caislean,1.0,3.0,51.88419579207018,Mitula,-8.604721941977742,0,249500,None,0,31,Caisleán,"31 An Caislean Dr, An Caislean, Ballincollig","31 31 An Caislean Dr, An Caislean, Ballincollig, An Caislean",240000.0,2020-05-21,-0.03807615230460922,0.00339886114282469
78,19 Newgrange,An Caislean,3.0,2.0,51.88419579207018,Mitula,-8.604721941977742,0,249000,None,0,19,Newgrange,"19 Newgrange, An Caislean, Ballincollig","19 19 Newgrange, An Caislean, Ballincollig, An Caislean",177000.0,2015-09-09,-0.2891566265060241,-0.26314097114263507
79,69 Beech Park  Ballincollig  Co. Cork,Beech Park,2.0,6.0,51.88446282578453,None,-8.586660730369518,0,245000, Semi-Detached House,0,69,Beech,"69 Beech Pk, Ballincollig, Cork","69 69 Beech Pk, Ballincollig, Cork, Beech Park",252500.0,2021-02-23,0.030612244897959183,0.02305194436801918
80,12 Highfield Square,Highfield,3.0,3.0,51.88483134751022,Mitula,-8.573114016875365,0,239000,None,0,12,Highfield,"12 Highfield Park, Ballincollig, Cork","12 12 Highfield Park, Ballincollig, Cork, Highfield",255000.0,2017-08-21,0.06694560669456066,-0.1022154363092225
81,12 Highfield Square,Highfield,3.0,3.0,51.88483134751022,Mitula,-8.573114016875365,0,239000,None,0,12,Highfield,"12 Highfield Park, Ballincollig, Cork","12 12 Highfield Park, Ballincollig, Cork, Highfield",310000.0,2020-12-18,0.29707112970711297,0.00339886114282469
82,16 Newgrange  An Caislean  Ballincollig  Co. Cork,An Caislean,2.0,2.0,51.88419579207018,None,-8.604721941977742,0,225000,Apartment for sale,0,16,Newgrange,"16 Newgrange, An Caislean, Ballincollig","16 16 Newgrange, An Caislean, Ballincollig, An Caislean",215000.0,2019-11-13,-0.044444444444444446,-0.01652524619960608
83,17 Tara  An Caislean  Ballincollig  Co. Cork,An Caislean,2.0,2.0,51.88419579207018,None,-8.604721941977742,0,220000,Apartment for sale,0,17,Tara,"17 Tara, Ballincollig, Cork","17 17 Tara, Ballincollig, Cork, An Caislean",218000.0,2019-08-06,-0.00909090909090909,-0.01652524619960608
84,20 Granary Court  The Maltings  Ballincollig  Co. Cork,The Maltings,1.0,2.0,51.88503727921537,None,-8.591352822622822,0,220000,Apartment for sale,0,20,Granary,"20 Granary Court, The Maltings, Ballincollig","20 20 Granary Court, The Maltings, Ballincollig, The Maltings",210000.0,2021-03-19,-0.045454545454545456,0.02305194436801918
85,98 Beech Park  Ballincollig  Co. Cork,Beech Park,1.0,3.0,51.88446282578453,None,-8.586660730369518,0,220000, Semi-Detached House,0,98,Beech,"98 Beech Park, Ballincollig, Cork","98 98 Beech Park, Ballincollig, Cork, Beech Park",232000.0,2019-05-03,0.05454545454545454,-0.01652524619960608
86,35 Manor Hill  Ballincollig  Co. Cork,Manor Hill,1.0,3.0,51.89121035709487,None,-8.575907457357648,0,220000, Semi-Detached House,0,35,Manor,"35 Manor Hill, Ballincollig, Cork","35 35 Manor Hill, Ballincollig, Cork, Manor Hill",255000.0,2019-06-25,0.1590909090909091,-0.01652524619960608
87,48 Beech Park,Beech Park,3.0,3.0,51.88446282578453,Mitula,-8.586660730369518,0,219500,None,0,48,Beech,"48 Beech Pk, Ballincollig, Cork","48 48 Beech Pk, Ballincollig, Cork, Beech Park",223000.0,2020-09-01,0.015945330296127564,0.00339886114282469
88,35 Innishmore Grove,Innishmore,3.0,3.0,51.888974744049854,Mitula,-8.608958999892096,0,165000,None,0,35,Innishmore,"35 Innishmore Grove, Ballincollig, Cork","35 35 Innishmore Grove, Ballincollig, Cork, Innishmore",188000.0,2021-04-22,0.1393939393939394,0.02305194436801918
