date,daily_cases,country
"3 May
,0
,12
,4
,2
,1
,109
,4
,3
,12
,-1
,1
,0
,2
,23
,6
,9
,4
,6
,3
,7
,1
,7
,-1
,7
,-1
,3
,
,
",330,Ireland
"4 May
,5
,15
,5
,15
,1
,74
,6
,1
,9
,1
,2
,0
,6
,22
,8
,2
,5
,3
,22
,31
,1
,15
,0
,7
,0
,3
,
,
",266,Ireland
"5 May
,0
,1
,27
,5
,2
,106
,5
,0
,13
,6
,3
,0
,-17
,2
,6
,2
,1
,9
,7
,9
,1
,5
,1
,73
,6
,5
,
,
",211,Ireland
"6 May
,1
,20
,18
,2
,0
,45
,1
,1
,10
,0
,-1
,-4
,-8
,1
,4
,4
,4
,2
,-1
,7
,-6
,6
,0
,6
,0
,3
,
,
",265,Ireland
"7 May
,3
,18
,4
,6
,0
,63
,1
,0
,5
,6
,5
,0
,4
,4
,12
,5
,27
,4
,4
,6
,0
,3
,3
,7
,4
,1
,
,
",137,Ireland
"8 May
,3
,4
,0
,2
,0
,120
,6
,0
,7
,6
,0
,0
,2
,0
,6
,0
,4
,0
,1
,1
,0
,2
,0
,1
,5
,6
,
,
",156,Ireland
"9 May
,2
,1
,2
,25
,3
,107
,4
,0
,7
,3
,1
,8
,10
,3
,9
,0
,2
,2
,1
,12
,7
,6
,0
,2
,3
,3
,
,
",219,Ireland
"10 May
,0
,4
,1
,2
,2
,60
,8
,2
,6
,4
,1
,0
,6
,2
,3
,15
,9
,5
,7
,50
,4
,1
,0
,0
,0
,3
,
,
",236,Ireland
"11 May
,2
,8
,2
,4
,-2
,7
,2
,0
,7
,7
,0
,1
,0
,1
,2
,1
,0
,4
,2
,1
,1
,0
,1
,2
,4
,-2
,
,
",139,Ireland
"12 May
,0
,2
,0
,11
,1
,66
,3
,0
,4
,1
,0
,2
,3
,2
,-1
,3
,1
,6
,2
,0
,0
,0
,0
,3
,2
,4
,
,
",107,Ireland
"13 May
,1
,7
,4
,7
,0
,249
,3
,1
,4
,1
,2
,0
,4
,1
,6
,1
,3
,3
,73
,1
,0
,-8
,0
,4
,0
,1
,
,
",159,Ireland
"14 May
,0
,2
,2
,90
,1
,100
,4
,1
,5
,2
,0
,2
,1
,0
,1
,0
,3
,1
,20
,1
,1
,5
,0
,2
,3
,5
,
,
",426,Ireland
"15 May
,2
,5
,0
,6
,1
,9
,6
,0
,4
,3
,2
,0
,5
,4
,-2
,5
,2
,12
,4
,1
,0
,2
,2
,1
,1
,-1
,
,
",129,Ireland
"16 May
,1
,7
,1
,9
,0
,27
,14
,0
,6
,2
,0
,0
,1
,2
,1
,5
,2
,0
,0
,3
,0
,1
,1
,-1
,0
,1
,
,
",92,Ireland
"17 May
,1
,12
,0
,11
,2
,66
,6
,1
,12
,2
,1
,1
,1
,0
,3
,4
,2
,5
,2
,3
,0
,1
,0
,2
,0
,2
,
,
",64,Ireland
"18 May
,1
,2
,0
,4
,0
,-26
,7
,0
,0
,5
,0
,2
,7
,0
,2
,2
,5
,0
,7
,1
,0
,3
,1
,0
,5
,-2
,
,
",88,Ireland
"19 May
,1
,2
,0
,10
,2
,32
,0
,0
,2
,0
,2
,0
,2
,1
,3
,2
,1
,3
,4
,2
,0
,1
,0
,2
,0
,0
,
,
",51,Ireland
"20 May
,1
,0
,4
,12
,-1
,29
,6
,0
,2
,9
,0
,0
,3
,0
,3
,0
,2
,1
,1
,2
,0
,0
,0
,3
,0
,0
,
,
",64,Ireland
"21 May
,0
,11
,0
,22
,0
,36
,4
,0
,4
,3
,0
,0
,0
,0
,5
,4
,5
,0
,2
,2
,0
,-1
,1
,0
,0
,2
,
,
",76,Ireland
"22 May
,1
,9
,2
,8
,0
,43
,3
,0
,5
,15
,0
,0
,1
,0
,0
,4
,2
,12
,3
,4
,0
,0
,2
,2
,0
,2
,
,
",115,Ireland
"23 May
,0
,1
,1
,10
,0
,3
,3
,0
,-2
,0
,0
,0
,3
,1
,3
,0
,0
,0
,0
,1
,0
,0
,0
,0
,0
,0
,
,
",76,Ireland
"24 May
,0
,2
,0
,2
,0
,18
,0
,0
,5
,0
,1
,0
,3
,0
,0
,0
,0
,2
,1
,0
,0
,0
,0
,0
,0
,2
,
,
",57,Ireland
