date,daily_cases,country
"2020-04-14
,(3) 20
,(33) 212
,(101) 556
,(241) 1,012
,(24) 181
,(10) 15
,(2) 35
,(4) 38
,(90) 312
,(15) 45
,(20) 137
,(1) 1
,(16) 143
,(8) 32
,
,(12) 99
,(1)
,(11) 53
,(1) 28
,(4) 43
,(5) 10
,
,
,
,
,3,186
,104,291
,1,695
,37,130
,1,073,689
,
,
","2,972",Italy
"2020-04-15
,(3) 11
,(14) 128
,(88) 539
,(235) 827
,(34) 192
,(8) 79
,(9) 40
,(6) 24
,(83) 277
,(18) 77
,(18) 139
,(1) 1
,(11) 121
,(8) 29
,6
,(18) 38
,(2) 1
,(10) 66
,(3) 15
,(6) 34
,(3) 23
,
,
,
,
,3,079
,105,418
,962
,38,092
,1,117,404
,
,
","2,667",Italy
"2020-04-16
,(1) 13
,(21) 103
,(79) 879
,(231) 941
,(41) 366
,(4) 74
,(2) 43
,(5) 72
,(55) 457
,(18) 79
,(29) 277
,(1) 7
,(5) 148
,(3) 72
,(1)
,(8) 80
,(1) 16
,(11) 74
,(1) 38
,(6) 44
,(2) 3
,
,
,
,
,2,936
,106,607
,2,072
,40,164
,1,178,403
,
,
","3,786",Italy
"2020-04-17
,(1) 22
,(38) 149
,(77) 695
,(243) 1,041
,(45) 384
,(20) 82
,(9) 29
,(3) 59
,(60) 348
,(21) 86
,(17) 167
,(2) 8
,(16) 144
,(3) 97
,6
,(7) 64
,1
,(8) 69
,(1) –18
,(3) 46
,(1) 14
,
,
,
,
,2,812
,106,962
,2,563
,42,727
,1,244,108
,
,
","3,493",Italy
"2020-04-18
,(1) 80
,(31) 113
,(81) 661
,(199) 1,246
,(33) 318
,(6) 55
,(5) 29
,(2) 56
,(62) 350
,(10) 53
,(16) 127
,7
,(8) 144
,(7) 44
,
,(7) 37
,(1) 2
,(7) 82
,20
,(6) 47
,20
,
,
,
,
,2,733
,107,771
,2,200
,44,927
,1,305,833
,
,
","3,491",Italy
"2020-04-19
,(1) 15
,(31) 227
,(79) 593
,(163) 855
,(28) 243
,(12) 101
,(6) 55
,(3) 14
,(58) 376
,(12) 48
,(19) 135
,(1) 4
,(1) 87
,(5) 34
,(1) 10
,(4) 41
,(1) 3
,(2) 120
,(2) 24
,(4) 45
,17
,
,
,
,
,2,635
,108,257
,2,128
,47,055
,1,356,541
,
,
","3,047",Italy
"2020-04-20
,(2)
,(29) 141
,(78) 292
,(163) 735
,(25) 192
,(6) 58
,(4) 14
,(14) 30
,(56) 307
,(15) 57
,(30) 135
,1
,(8) 60
,(5) 91
,(1) 2
,(5) 45
,
,(10) 38
,3
,(3) 42
,13
,
,
,
,
,2,573
,108,237
,1,822
,48,877
,1,398,024
,
,
","2,256",Italy
"2020-04-21
,(–1) 5
,(33) 95
,(76) 606
,(203) 960
,(42) 277
,(10) 24
,(2) 16
,(2) 17
,(68) 225
,(12) 51
,(19) 96
,(2) 4
,(14) 80
,(8) 55
,1
,(8) 61
,8
,(25) 55
,(1) 9
,(3) 76
,(7) 8
,
,
,
,
,2,471
,107,709
,2,723
,51,600
,1,450,150
,
,
","2,729",Italy
"2020-04-22
,(1) 2
,(32) 154
,(74) 784
,(161) 1,161
,(27) 334
,(5) 32
,(5) 6
,(5) 25
,(57) 342
,(11) 47
,(19) 97
,(1) 4
,(7) 80
,(5) 66
,(1) 2
,(10) 50
,4
,(11) 108
,13
,(2) 48
,(3) 11
,
,
,
,
,2,384
,107,699
,2,943
,54,543
,1,513,251
,
,
","3,370",Italy
"2020-04-23
,1
,(25) 131
,(71) 401
,(200) 1,073
,(25) 143
,(1) 81
,(5) 19
,(10) 41
,(65) 289
,(12) 28
,(18) 80
,5
,(5) 79
,(4) 52
,(1)
,(5) 53
,2
,(10) 109
,9
,(5) 43
,(2) 7
,
,
,
,
,2,267
,106,848
,3,033
,57,576
,1,579,909
,
,
","2,646",Italy
"2020-04-24
,(2) 4
,(29) 124
,(69) 682
,(166) 1,091
,(38) 348
,(7) 49
,(2) 21
,(2) 24
,(34) 247
,(8) 76
,(19) 97
,(1) 1
,(9) 78
,(6) 18
,3
,(4) 44
,4
,(11) 42
,(4) 10
,(5) 55
,(4) 3
,
,
,
,
,2,173
,106,527
,2,922
,60,498
,1,642,356
,
,
","3,021",Italy
"2020-04-25
,(1)
,(17) 128
,(68) 604
,(163) 713
,(44) 162
,(11) 62
,(2) 20
,(5) 21
,(44) 239
,(9) 30
,(18) 138
,(1) 3
,(3) 92
,(7) 29
,(1) 5
,(5) 17
,(1) 1
,(8) 31
,9
,(6) 39
,(1) 14
,
,
,
,
,2,102
,105,847
,2,622
,63,120
,1,707,743
,
,
","2,357",Italy
"2020-04-26
,(1) 6
,(21) 187
,(56) 394
,(56) 920
,(27) 80
,(5) 56
,(4) 5
,(1) 14
,(39) 241
,(5) 53
,(18) 132
,(1) 2
,(2) 85
,(2) 27
,4
,(4) 32
,5
,(8) 36
,1
,(4) 35
,(6) 9
,
,
,
,
,2,009
,106,103
,1,808
,64,928
,1,757,659
,
,
","2,324",Italy
"2020-04-27
,(2) 5
,(14) 154
,(55) 278
,(124) 590
,(29) 108
,(2) 101
,(1) 15
,(7) 60
,(45) 212
,(5) 16
,(17) 32
,(1) 2
,(8) 83
,(4) 15
,
,(7) 18
,
,(6) 10
,(3) 7
,(3) 30
,3
,
,
,
,
,1,956
,105,813
,1,696
,66,624
,1,789,662
,
,
","1,739",Italy
"2020-04-28
,(2) 8
,(13) 130
,(58) 352
,(126) 869
,(64) 129
,(5) 30
,(2) 2
,(7) 18
,(41) 252
,(9) 48
,(16) 52
,9
,(17) 75
,(11) 25
,1
,(6) 31
,
,(2) 22
,(2) 1
,(1) 35
,2
,
,
,
,
,1,863
,105,205
,2,317
,68,941
,1,846,934
,
,
","2,091",Italy
"2020-04-29
,(2) 5
,(11) 117
,(67) 411
,(104) 786
,(29) 117
,(4) 44
,(2) 9
,(7) 15
,(40) 263
,(6) 35
,(16) 61
,(1) 12
,(17) 78
,(5) 24
,
,(1) 30
,
,(3) 49
,(1) 5
,20
,(7) 5
,
,
,
,
,1,795
,104,657
,2,311
,71,252
,1,910,761
,
,
","2,086",Italy
"2020-04-30
,4
,(15) 104
,(63) 428
,(93) 598
,(22) 135
,(2) 47
,(1) 11
,(4) 15
,(39) 259
,(7) 37
,(15) 60
,(1) 1
,(10) 71
,(5) 7
,1
,13
,1
,(5) 43
,6
,(3) 26
,5
,
,
,
,
,1,694
,101,551
,4,693
,75,945
,1,979,217
,
,
","1,872",Italy
"2020-05-01
,5
,(17) 133
,(31) 395
,(88) 737
,(20) 138
,(5) 16
,(3) 10
,(5) 16
,(28) 208
,(5) 28
,(12) 93
,(1) 1
,(41) 56
,(4) 18
,2
,21
,11
,(6) 27
,4
,(2) 28
,(1) 18
,
,
,
,
,1,578
,100,943
,2,304
,78,249
,2,053,425
,
,
","1,965",Italy
"2020-05-02
,3
,(11) 186
,(29) 495
,(329) 533
,(23) 126
,(2) 49
,(1) 7
,(1) 18
,(35) 206
,(5) 23
,(9) 80
,1
,(15) 84
,(3) 16
,1
,(3) 15
,2
,(1) 34
,(2)
,(3) 19
,(2) 2
,
,
,
,
,1,539
,100,704
,1,665
,79,914
,2,108,837
,
,
","1,900",Italy
"2020-05-03
,(1) 6
,(14) 47
,(26) 251
,(42) 526
,(14) 94
,(4) 66
,(2) 1
,(2) 13
,(28) 166
,(11) 21
,(9) 38
,
,(11) 53
,(3) 32
,(1)
,(2) 25
,6
,(2) 11
,2
,(2) 27
,4
,
,
,
,
,1,501
,100,179
,1,740
,81,654
,2,153,772
,
,
","1,389",Italy
"2020-05-04
,(1) 1
,(12) 53
,(34) 192
,(63) 577
,(12) 55
,(1) 11
,(3) 5
,(2) 4
,(24) 159
,(5) 44
,(9) 38
,(2)
,(16) 38
,(2) 4
,
,(2) 14
,
,(5) 9
,4
,(2) 15
,–2
,
,
,
,
,1,479
,99,980
,1,225
,82,879
,2,191,403
,
,
","1,221",Italy
